date,meal,food,calories,carbohydrates,fat,protein,sodium,sugar
2020-5-17,breakfast,"Krusteaz Waffle - 1 Waffle, 2 waffle",180.0,56.0,6.0,8.0,375.0,8.0
2020-5-17,breakfast,"Food Club - Original Whipped Topping, 4 Tbsp (9g)",50.0,4.0,3.0,0.0,0.0,2.0
2020-5-17,breakfast,"Log Cabin Original - Pancake Syrup, 2 tbsp (30 ml)",110.0,28.0,0.0,0.0,55.0,12.0
2020-5-17,breakfast,"Strawberry - Strawberry, 2 med",8.0,2.0,0.0,0.0,0.0,1.0
2020-5-17,dinner,"Kroger Olive Oil - Extra Virgin Olive Oil, 0.25 tablespoon",30.0,0.0,4.0,0.0,0.0,0.0
2020-5-17,dinner,"Newman's Own - Light Balsamic Vinegarette, 0.5 TBSP",13.0,1.0,1.0,0.0,80.0,1.0
2020-5-17,dinner,"Homemade - Pesto Chicken, 2 piece",458.0,20.0,14.0,60.0,464.0,0.0
2020-5-17,dinner,"Kirkland Signature - Baguette (2 Pack), 0.15 container (672 gs ea.)",216.0,45.0,0.0,7.0,486.0,2.0
2020-5-17,snacks,"Oreo - Double Stuff, 1 cookie(29g)",70.0,11.0,4.0,1.0,48.0,7.0
2020-5-17,snacks,"Farr Better - Premium Ice Cream - Vanilla Bean, 1.5 \2 Cup",210.0,20.0,12.0,5.0,68.0,20.0
2020-5-17,snacks,"Marie Morin - Caramel Flan [added by Krf], 0.33 dessert (130g)",83.0,11.0,3.0,2.0,28.0,11.0
2020-5-18,lunch,"Nabisco Ritz Cracker - Cracker, 3 each",48.0,0.0,0.0,0.0,0.0,0.0
2020-5-18,lunch,"Generic - Chicken Salad, Chicken Breast, Mayonnaise, Celery, 1 cup",240.0,0.0,22.0,26.0,0.0,0.0
2020-5-18,lunch,"Farm Bread - White Old Fashioned, 2 slice",180.0,36.0,0.0,6.0,340.0,4.0
2020-5-18,dinner,"Chicken Leg - Chicken Leg, 1.5 leg",272.0,0.0,12.0,39.0,129.0,0.0
2020-5-18,dinner,"Generic - Quinoa Crack, 2 ounce",230.0,37.0,4.0,8.0,0.0,1.0
2020-5-18,snacks,"sanders - Dark chocolate sea salt carmel, 1 piece",70.0,11.0,4.0,1.0,0.0,0.0
2020-5-18,snacks,"Nestle Tollhouse - Chocolate Chip Cookie, 2 cookie",160.0,22.0,8.0,2.0,130.0,14.0
2020-5-18,snacks,"Oreo - Double Stuff, 1 cookie(29g)",70.0,11.0,4.0,1.0,48.0,7.0
2020-5-18,snacks,"Byu Creamery - Cookies and Cream Ice Cream, 0.5 cup",160.0,21.0,7.0,3.0,104.0,0.0
2020-5-19,lunch,"Generic - Bean and Cheese Burrito, 1 Burrito (143g)",800.0,20.0,16.0,22.0,500.0,0.0
2020-5-19,lunch,"Pollo Loco - Pork Carnitas Street Taco, 1 taco",110.0,17.0,3.0,4.0,180.0,0.0
2020-5-19,dinner,"Costco Chicken - Rotisserie Chicken, 0.1 container (900 gs ea.)",126.0,2.0,6.0,16.0,315.0,0.0
2020-5-19,dinner,"Krispy Creme - Donuts Glazed, 2 donut",380.0,42.0,22.0,4.0,150.0,20.0
2020-5-19,snacks,"Oreo - Double Stuff, 1 cookie(29g)",70.0,11.0,4.0,1.0,48.0,7.0
2020-5-20,lunch,"Oreo - Double Stuff, 1 cookie(29g)",70.0,11.0,4.0,1.0,48.0,7.0
2020-5-20,lunch,"Farm Bread - Plain Bagel, 1 bagel",220.0,45.0,2.0,7.0,400.0,2.0
2020-5-20,lunch,"Philadelphia Cream Cheese - Whipped, 2 Tbsp",50.0,2.0,5.0,1.0,90.0,1.0
2020-5-20,dinner,"Fair Market - Fast Food Style Battered Chicken Nuggets, 10 nuggets",450.0,28.0,28.0,25.0,850.0,0.0
2020-5-20,dinner,"dirty dp, 1 serving(s)",195.0,52.0,0.0,0.0,55.0,51.0
2020-5-20,snacks,"Generic - Quinoa Crack, 1.5 ounce",172.0,28.0,3.0,6.0,0.0,1.0
2020-5-20,snacks,"Krispy Creme - Donuts Glazed, 1 donut",190.0,21.0,11.0,2.0,75.0,10.0
2020-5-20,snacks,"Krispy Creme - Donuts Glazed, 1 donut",190.0,21.0,11.0,2.0,75.0,10.0
2020-5-21,lunch,"sanders - Dark chocolate sea salt carmel, 1 piece",70.0,11.0,4.0,1.0,0.0,0.0
2020-5-21,lunch,"Chicken Thigh - Chicken Thigh Baked With Skin, 200 grams",494.0,0.0,31.0,50.0,168.0,0.0
2020-5-21,lunch,"Generic - Quinoa Crack, 1.5 ounce",172.0,28.0,3.0,6.0,0.0,1.0
2020-5-21,dinner,"Ralph's Pork Sandwich - Pulled Pork Sandwich, 1 sandwich",284.0,36.0,4.0,25.0,380.0,0.0
2020-5-21,dinner,"7up - Pomegranate 2 L, 480 ml",200.0,52.0,0.0,0.0,60.0,50.0
2020-5-21,snacks,"dirty dp, 1 serving(s)",195.0,52.0,0.0,0.0,55.0,51.0
